"site_short","netNr","julian_day","nSpec"
"BB-D2-23","5",23,2
"BB-D2-23","5",24,1
"BB-D2-23","5",25,1
"BB-D2-23","5",26,1
"BB-D2-23","5",27,0
"BB-D2-23","5",28,1
"BB-D2-23","6",23,2
"BB-D2-23","6",24,0
"BB-D2-23","6",25,2
"BB-D2-23","6",26,1
"BB-D2-23","6",27,0
"BB-D2-23","6",28,2
"BB-D2-23","7",23,1
"BB-D2-23","7",24,3
"BB-D2-23","7",25,3
"BB-D2-23","7",26,0
"BB-D2-23","7",27,1
"BB-D2-23","7",28,1
"BB-D2-23","8",23,1
"BB-D2-23","8",24,1
"BB-D2-23","8",25,1
"BB-D2-23","8",26,0
"BB-D2-23","8",27,1
"BB-D2-23","8",28,1
"BB-D2-23","9",23,3
"BB-D2-23","9",24,3
"BB-D2-23","9",25,2
"BB-D2-23","9",26,3
